"stress.type","humor.type","start","middle","finish"
"High","Neutral",2,5,5
"High","Neutral",1,5,3
"High","Neutral",1,4,5
"High","Neutral",1,3,6
"High","Neutral",1,4,4
"High","Neutral",1,3,5
"High","Neutral",1,5,5
"High","Neutral",2,6,5
"High","Neutral",1,3,5
"High","Neutral",2,6,5
"High","Neutral",1,4,5
"High","Neutral",0,3,5
"High","Neutral",2,4,5
"High","Neutral",1,4,5
"High","Neutral",0,6,4
"High","Neutral",0,7,3
"High","Neutral",1,3,5
"High","Neutral",1,5,4
"High","Neutral",1,3,6
"High","Neutral",1,4,6
"High","Neutral",2,5,6
"High","Neutral",1,6,5
"High","Neutral",1,5,5
"High","Neutral",2,5,6
"High","Neutral",2,3,5
"High","Disparaging",0,3,4
"High","Disparaging",2,4,3
"High","Disparaging",2,4,3
"High","Disparaging",2,2,2
"High","Disparaging",0,4,3
"High","Disparaging",1,3,2
"High","Disparaging",1,2,4
"High","Disparaging",1,4,3
"High","Disparaging",2,4,4
"High","Disparaging",1,3,2
"High","Disparaging",-1,2,3
"High","Disparaging",2,5,4
"High","Disparaging",1,4,5
"High","Disparaging",1,4,3
"High","Disparaging",1,2,4
"High","Disparaging",2,4,3
"High","Disparaging",1,3,3
"High","Disparaging",2,4,3
"High","Disparaging",3,5,4
"High","Disparaging",1,3,4
"High","Disparaging",2,3,3
"High","Disparaging",1,2,4
"High","Disparaging",-1,5,5
"High","Disparaging",1,4,5
"High","Disparaging",1,3,4
"Low","Neutral",1,3,1
"Low","Neutral",2,2,1
"Low","Neutral",2,2,1
"Low","Neutral",2,3,0
"Low","Neutral",0,4,1
"Low","Neutral",1,3,0
"Low","Neutral",1,4,0
"Low","Neutral",2,5,0
"Low","Neutral",0,2,1
"Low","Neutral",1,4,0
"Low","Neutral",2,2,0
"Low","Neutral",1,4,0
"Low","Neutral",2,3,1
"Low","Neutral",1,4,1
"Low","Neutral",1,2,1
"Low","Neutral",1,4,0
"Low","Neutral",3,1,0
"Low","Neutral",2,3,1
"Low","Neutral",1,2,0
"Low","Neutral",1,4,1
"Low","Neutral",1,2,0
"Low","Neutral",1,3,1
"Low","Neutral",1,3,1
"Low","Neutral",1,3,2
"Low","Neutral",1,2,1
"Low","Disparaging",2,3,2
"Low","Disparaging",1,3,1
"Low","Disparaging",1,3,0
"Low","Disparaging",2,3,1
"Low","Disparaging",1,3,1
"Low","Disparaging",1,3,1
"Low","Disparaging",1,2,1
"Low","Disparaging",3,3,1
"Low","Disparaging",1,4,1
"Low","Disparaging",2,4,2
"Low","Disparaging",1,3,0
"Low","Disparaging",2,3,1
"Low","Disparaging",1,4,0
"Low","Disparaging",2,3,1
"Low","Disparaging",1,3,0
"Low","Disparaging",-1,3,2
"Low","Disparaging",2,4,0
"Low","Disparaging",2,2,1
"Low","Disparaging",1,3,1
"Low","Disparaging",1,3,1
"Low","Disparaging",2,2,1
"Low","Disparaging",2,3,1
"Low","Disparaging",0,5,0
"Low","Disparaging",2,3,0
"Low","Disparaging",2,3,0
